Country,Iron_Preg_Low,Iron_Preg_Base,Iron_Preg_High,Iron_WRA_Low,Iron_WRA_Base,Iron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Fortification_Low,Fortification_Base,Fortification_High,WTP_Opp_Lower,WTP_Opp_Upper,WTP_HCFI_Lower,WTP_HCFI_Upper
Solomon Islands,3.1,6.11,10.75,2.19,4.33,9.8,3.41,6.68,8.76,0.11,0.74,2.26,463.1,926.2,2205.3,5072.1
Somalia,1.76,3.58,7.87,1.77,2.53,8.77,0.78,1.46,2.99,0.1,0.68,2.1,124.3,142.1,592.1,1361.8
South Africa,4.37,8.96,13.38,2.76,5.33,11.57,5.92,11.79,13.99,1.73,2.22,3.39,3383.2,4601.2,6766.5,15562.9
South Korea,33.47,90.49,124.42,18.31,52.65,78.43,43.35,86.66,96.35,0.24,0.86,2.36,16211.3,23668.5,32422.6,74571.9
South Sudan,1.6,3.41,7.29,1.32,2.34,6.46,0.73,1.4,2.62,0.08,0.35,1.22,535.9,257.2,1071.8,2465.1
Spain,27.74,78.33,109.41,17.96,47.21,86.91,32.43,64.81,73.75,0.54,1.14,2.57,21068.9,24926.6,29674.5,68251.5
Sri Lanka,3.2,6.32,10.88,2.32,3.72,11.44,3.65,7.19,9.19,0.11,0.71,2.19,603.8,1174,3354.4,7715.1
St. Kitts and Nevis,17.68,58.5,86.25,9.05,34.33,50.68,15.22,30.42,34.21,0.16,0.79,2.3,3647.2,13778.3,20262.3,46603.2
St. Lucia,8.43,16.79,22.53,4.25,8.39,16.5,13.37,26.61,30.55,0.74,1.32,2.71,4169.9,5733.6,13030.9,29971.1
St. Vincent and the Grenadines,6.73,13.41,18.64,3.71,6.43,15.71,10.19,20.26,23.4,1.41,1.93,3.18,2646.3,3650.1,9125.3,20988.2
Sudan,1.89,3.86,8.1,1.44,2.73,7.64,1.23,2.37,3.95,0.1,0.58,1.84,99.2,308.6,1102.1,2534.9
Suriname,3.79,7.57,12.4,2.49,5.01,11.26,4.56,8.99,11.3,0.11,0.74,2.26,3573.9,4921.4,5858.8,13475.3
