Country,Iron_Preg_Low,Iron_Preg_Base,Iron_Preg_High,Iron_WRA_Low,Iron_WRA_Base,Iron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Fortification_Low,Fortification_Base,Fortification_High,WTP_Opp_Lower,WTP_Opp_Upper,WTP_HCFI_Lower,WTP_HCFI_Upper
Malawi,1.69,4.26,7.72,1.59,3.22,7.65,0.82,1.59,3.3,0.08,0.21,1.01,45.2,148.4,645.2,1483.9
Malaysia,5.79,11.83,20.54,3.77,6.56,16.86,3.99,7.83,13.35,0.23,0.71,1.82,3358.1,4557.4,11993.2,27584.3
Maldives,5.29,10.94,18.4,3.56,6.22,15.61,3.48,6.85,11.2,0.07,0.48,1.40,6950.7,9542.5,11780.8,27095.9
Mali,1.54,3.77,6.94,1.8,2.75,9.57,0.68,1.29,2.55,0.08,0.46,1.48,41.7,133.3,833.3,1916.6
Malta,56.86,135.19,211.44,38.26,88.43,151.76,37.82,75.59,119.79,0.12,0.22,0.40,21159.1,24913.1,34127.5,78493.3
Marshall Islands,4.49,9.35,16.69,3,5.88,13.54,3.08,6.01,10.61,0.04,0.31,0.90,3859.6,3610.6,6225.2,14317.9
Mauritania,4.39,9.65,15.54,4.62,9.4,17.63,2.83,5.59,9.04,0.04,0.28,0.86,227.2,454.3,2065.2,4749.9
Mauritius,5.58,11.91,19.07,3.62,6.38,15.56,3.71,7.36,11.66,0.10,0.37,0.96,4307.6,5128.1,10256.2,23589.3
Mexico,9.27,19.04,30.33,4.66,9.35,17.98,6.52,12.91,20.28,1.63,2.94,3.02,4368.7,5978.2,11496.5,26442
Micronesia,3.54,7.46,13.03,2.6,5.04,11.26,2.23,4.32,7.25,0.10,0.68,2.06,1708.4,3342.6,3714,8542.1
Republic of Moldova,4.9,10.13,19.17,4.13,7.17,19.22,3.65,7.14,13.61,0.67,0.87,1.27,1257.2,2742.9,5714.4,13143.2
Monaco,17.8,57.38,94.65,10.04,35.83,50.86,8.2,16.37,27.23,0.14,0.23,0.38,110796.6,163786.3,240862.2,553983
Mongolia,2.52,5.51,9.92,1.71,3.43,8.94,1.41,2.67,4.77,0.01,0.09,0.28,2320.9,1463.2,5045.5,11604.7
Montenegro,9.64,19.74,33.48,5.93,11.87,23.74,7.27,14.37,24.54,0.08,0.15,0.23,4643,8276.6,10093.4,23214.9
Morocco,2.42,5.49,9.61,2,4.09,9.82,1.33,2.57,4.55,0.02,0.07,0.25,826.1,1617.7,3442,7916.6
Mozambique,1.5,3.71,6.88,1.79,2.65,8.28,0.65,1.24,2.52,0.07,0.36,1.21,61.4,201,558.3,1284.1
Myanmar,1.77,3.94,7.61,1.87,2.81,10.26,0.83,1.54,2.99,0.10,0.71,2.17,195.4,379.2,1149.2,2643.2
Namibia,2.93,6.79,11.19,2.22,4.59,10.23,1.73,3.4,5.75,1.02,1.32,1.96,2565.9,3471.5,5031.1,11571.6
Nauru,12.58,46.99,76.2,8.56,28.22,56.1,3.16,6.29,10.89,0.11,0.49,1.38,6105.2,8140.2,11970.9,27533.2
Nepal,1.67,3.81,7.29,1.74,2.5,9.65,0.76,1.4,2.74,0.08,0.48,1.49,240.6,467.8,1336.5,3074.1
Netherlands,17.8,57.37,94.48,10.09,35.95,51.19,8.2,16.37,27.23,0.08,0.14,0.17,43339,51322.5,57025,131157.5
New Zealand,32.53,86.81,137.34,18.7,53.19,75.95,18.91,37.8,58.15,0.17,0.34,0.66,35829.8,42124.2,48418.6,111362.8
Nicaragua,2.5,5.42,9.92,1.72,3.3,8.89,1.46,2.79,4.96,0.08,0.43,1.39,766.8,1511.1,2255.4,5187.5
Niger,1.42,3.6,6.6,1.72,2.51,8.59,0.59,1.12,2.29,0.10,0.63,1.94,46.8,146.4,585.4,1346.4
Nigeria,1.89,4.47,8.02,2.01,3.17,10,0.94,1.82,3.36,0.07,0.39,1.26,194.6,367.6,2162.6,4974.1
North Korea,1.33,3.15,6.51,1.17,2.26,6.68,0.54,0.92,2.3,0.09,0.52,1.64,0,0,0,0
