location_name year_id rei_name Prevalence Description
Bahrain 2005 "Moderate anemia" 28830 Observed
Bahrain 2005 "Severe anemia" 547 Observed
Bahrain 2010 "Mild anemia" 101078 Observed
Bahrain 2010 "Moderate anemia" 36318 Observed
Bahrain 2010 "Severe anemia" 778 Observed
Bahrain 2015 "Mild anemia" 104114 Observed
Bahrain 2015 "Moderate anemia" 38525 Observed
Bahrain 2015 "Severe anemia" 959 Observed
Bahrain 2020 "Mild anemia" 102242 Observed
Bahrain 2020 "Moderate anemia" 39488 Observed
Bahrain 2020 "Severe anemia" 1142 Observed
Bahrain 2021 "Mild anemia" 102259 Observed
Bahrain 2021 "Moderate anemia" 40065 Observed
Bahrain 2021 "Severe anemia" 1202 Observed
Bahrain 2030 "Mild anemia" 102755.77523577199 Predicted_trend
Bahrain 2030 "Moderate anemia" 45574.82219549187 Predicted_trend
Bahrain 2030 "Severe anemia" 1760.8240372017917 Predicted_trend
Bahrain 2030 "Mild anemia" 110770.03908851219 Predicted_stable
Bahrain 2030 "Moderate anemia" 45148.72500173676 Predicted_stable
Bahrain 2030 "Severe anemia" 1441.5055393423797 Predicted_stable
Bangladesh 1990 "Mild anemia" 10606270 Observed
Bangladesh 1990 "Moderate anemia" 5874967 Observed
Bangladesh 1990 "Severe anemia" 209705 Observed
Bangladesh 1995 "Mild anemia" 12324852 Observed
Bangladesh 1995 "Moderate anemia" 6243559 Observed
Bangladesh 1995 "Severe anemia" 175952 Observed
Bangladesh 2000 "Mild anemia" 11531694 Observed
Bangladesh 2000 "Moderate anemia" 6307734 Observed
Bangladesh 2000 "Severe anemia" 211197 Observed
Bangladesh 2005 "Mild anemia" 11099109 Observed
Bangladesh 2005 "Moderate anemia" 6438003 Observed
Bangladesh 2005 "Severe anemia" 250815 Observed
Bangladesh 2010 "Mild anemia" 11202616 Observed
Bangladesh 2010 "Moderate anemia" 6427150 Observed
Bangladesh 2010 "Severe anemia" 259368 Observed
Bangladesh 2015 "Mild anemia" 12089359 Observed
Bangladesh 2015 "Moderate anemia" 6522216 Observed
Bangladesh 2015 "Severe anemia" 261412 Observed
Bangladesh 2020 "Mild anemia" 13288836 Observed
Bangladesh 2020 "Moderate anemia" 6689631 Observed
Bangladesh 2020 "Severe anemia" 269080 Observed
Bangladesh 2021 "Mild anemia" 13535768 Observed
Bangladesh 2021 "Moderate anemia" 6723401 Observed
Bangladesh 2021 "Severe anemia" 270035 Observed
Bangladesh 2030 "Mild anemia" 15758621.727406938 Predicted_trend
Bangladesh 2030 "Moderate anemia" 7026148.456031795 Predicted_trend
Bangladesh 2030 "Severe anemia" 277900.465968321 Predicted_trend
